Disciplina,Horário,Local,Professor(a)
Sistemas Operacionais I,24M45,CI 102,Davi Henrique dos Santos
Sistemas Operacionais I,35M23,LIEPE 07,Fernando Menezes Matos
Teoria da Computação,35T45,CI 106,Andrei de Araujo Formiga
Teoria das Probabilidades,24T23,CI 306,Roberto Quirino do Nascimento
Teoria dos Grafos Aplicada,24T45,CI 102,Jose Miguel Aroztegui Massera
Teste de Software,24T23,Auditório - T03,Yuska Paola Costa Aguiar
Tópicos Avançados em CC III,35T23,CI 308,A Definir
Tópicos Avançados em CC XI,6M2345,CI 104,Sergio de Carvalho Bezerra
Tópicos Especiais em Eng. Comp. IV,24T45,CI 101,Josilene Aires Moreira
Trabalho Indiv. em Teoria da Comp.,6M2345,CI 306,Andrei de Araujo Formiga
Trabalho Indiv. em Eng. de Software,7M2345,CI 107,Alan Kelon Oliveira de Moraes
UCE - CC / Projeto Integrado I,7M2345,LIEPE Lab Hard.,Danielle Rousy e Giorgia de
UCE - CC / Projeto Integrado II,7T2345,Auditório - T03,Marcelo Iury e Yuska Paola
UCE - CC / Projeto Integrado III,7M23,CI 306,Lincoln David Nery e Silva
Visualização de Dados,35M45,CI 306,Gustavo Charles Peixoto de Oliveira
